hak,rom,zh,en,unproofread
濃密,ngiung2 mit6,,,
內在,lui4 cai4,,,
軍隊,giun1 dui4,,,
謹慎,giun3 sin3,,,
屈服,kiut5 fuk6,,,
曬穀,sai4 guk5,,,
鞠躬,kiuk5 giung1,,,
浴缸,yuk5 gong1,,,
玉器,ngiuk6 hi4,,,
酷熱,kuk6 ngiet6,,,
郵局,yiu2 kiuk6,,,
訓練,hiun4 lien4,,,
奮鬥,fun4 deu4,,,
勳章,hiun1 zong1,,,
分贓,fun1 zong1,,,
祖墳,zu3 fun2,,,
餐廳,con1 tiang4,,,
模範,mu2 fam4,,,
辦法,pan4 fap5,,,
帆船,fam2 son2,,,
壓力,ap5 lit6,,,
活動,fat6 tung4,,,
滿足,man1 zuk5,,,
永遠,yun1 yen3,,,
榮幸,yin2 hen4,,,
欠款,kiam4 kan3,,,
勸解,kien4 gai3,,,
牽掛,kien1 ga4,,,
禁忌,gim4 ki4,,,
嫌疑,hiam2 ngi2,,,
遺產,vui2 san3,,,
魏國,ngui4 get5,,,
藝術,ngi4 sut6,,,
梅縣,moi2 yen4,,,
出現,cut5 hien4,,,
柴犬,cai2 kien3,,,
明顯,min2 hien3,,,
賢才,hien2 coi2,,,
姓丘,siang4 hiu1,,,
莧菜,han4 coi4,,,
自然,cu4 yen2,,,
決定,giet5 tin4,,,
結果,giet5 go3,,,
構造,geu4 cau4,,,
購買,geu4 mai1,,,
魚鈎,ng2 geu1,,,
斑鳩,ban1 geu1,,,
視頻,si4 pin2,,,
食品,sit6 pin3,,,
肥佬,pui2 lau3,,,
淋肥,lim2 pui2,,,
廢水,fui4 sui3,,,
沸水,bui4 sui3,,,
豬肺,zu1 pui4,,,
充沛,cung1 pui4,,,
斧頭,bu3 teu2,,,
符水,pu2 sui3,,,
文字,vun2 su4,,,
無力,vu2 lit6,,,
物理,vut6 li1,,,
房屋,fong2 vuk5,,,
扶穩,pu2 vun3,,,
糞缸,bun4 gong1,,,
發冷,bot5 lang1,,,
剝皮,bok5 pi2,,,
婦娘,bu1 ngiong2,,,
寬闊,kon1 fat5,,,
西湖,si1 fu2,,,
華南,fa2 lam2,,,
鳳凰,fung4 fong2,,,
皇室,fong2 sit5,,,
宏偉,fen2 vui3,,,
一代親，二代表，三代閒了了。,"yit5 toi4 cin1, ngi4 toi4 biau3, sam1 toi4 han2 liau3 liau3",,,
人冇千日好，花冇百日紅。,"ngin2 mau2 cien1 ngit6 hau3, fa1 mau2 bat5 ngit6 fung1",,,
＿,gim2,,,
＿,gip6,,,
＿,hot6,,,
瓠打瓠，瓜打瓜，唔係像阿㜆就像阿爸。,"pu2 da3 pu2, ga1 da3 ga1, m1 he4 ciong4 a1 mi2 ciu4 ciong4 a1 ba4",,,
先生教厓讀書，厓教先生打山豬。,"sin1 sang1 gau4 ngai2 tuk6 su1, ngai2 gau4 sin1 sang1 da3 san1 zu1",,,
山豬飆過河，嚇到先生兩公婆。,"san1 zu1 biau1 go4 ho2, hak5 dau3 sin1 sang1 liong3 gung1 po2",,,
一夜冇睡目，十夜補唔足。,"yit5 ya4 mau2 soi4 muk5, sip6 ya4 bu3 m1 zuk5",,,
老虎都曉啄目睡。,lau4 fu3 du1 hiau3 duk5 muk5 soi4,,,
爺娘記子長江水，子記爺娘冇擔竿長。,"ya2 ngiong2 gi4 zu3 cong2 gong1 sui3, zu3 gi4 ya2 ngiong2 mau2 dam4 gon1 cong2",,,
早死爺娘冇教招。,zau3 si3 ya2 ngiong2 mau2 gau1 zau1,,,
養子唔知娘辛苦，養女正曉謝娘恩。,"yong3 zu3 m1 di1 ngiong2 sin1 ku3, yong3 ng3 zang4 hiau3 cia4 ngiong2 en1",,,
親屬關係,cin1 suk6 gan1 he4,,,
阿傑,a1 kiet6,,,1
好,hau3,,,
阿姐,a1 zia3,,,1
仔,zai3,,,1
阿,a1,,,1
姨仔,yi1 zai3,,,1
張伯,zong1 bak5,,,1
唉,ai4,,,1
隻,zak5,,,1
欸,e1,,,1
同學,tung2 hok6,同學,Classmate,
你好,ngi2 hau3,你好,Hello,
姓,siang4,姓,Surname,
黃,vong2,黃,Huang (surname),
陳大明,cin2 tai4 min2,陳大明,Cin Tai-min (name),
陳大文,cin2 tai4 vun2,陳大文,Cin Tai-vun (name),
何小安,ho2 siau3 on1,何小安,Ho Siau-on (name),
羅春蘭,lo2 cun1 lan2,羅春蘭,Lo Cun-lan (name),
客家人,hak5 ga1 ngin2,客家人,Hakka people,
呢,le1,呢,Question particle,
乘數表,sin2 su4 biau3,乘數表,Multiplication table,
如,yi2,等於,Equal to / As,
歸,gui1,得,Yields (in math),
倍數,pui1 su4,倍數,Multiple,
唸出,ngiam4 cut5,唸出,Read out,
其他,gi2 ta1,其他,Other,
葉錦嫦,yap6 gim3 song2,葉錦嫦,Yap Gim-song (name),
李偉雄,li3 vui3 hiung2,李偉雄,Li Vui-hiung (name),
識,sit5,認識,Know / Recognize,
呀,a1,呀,Sentence particle,
嘅,e4,的,Possessive/Descriptive particle,
麼,mo1,嗎,Question particle,
爸,ba1,爸爸,Dad,
意思,yi4 su1,意思,Meaning,
囖,lo1,囖,Sentence particle,
噢,o1,噢,Oh,
明白,min2 pak6,明白,Understand,
咯,lo1,了/咯,Sentence particle,
今年,gim1 ngien2,今年,This year,
有,yiu1,有,Have,
哥,go1,哥哥,Older brother,
表哥,biau3 go1,表哥,Cousin (older male),
潮州,cau2 ziu1,潮州,Teochew,
潮州話,cau2 ziu1 va4,潮州話,Teochew language,
但,tan4,但,But,
香港,hiong1 gong3,香港,Hong Kong,
馬來西亞,ma1 loi2 si1 a4,馬來西亞,Malaysia,
沙巴,sa1 ba1,沙巴,Sabah,
來,loi2,來,Come,
講,gong3,說,Speak,
得,det5,得,Structural particle,
流利,liu2 li4,流利,Fluent,
英文,yin1 vun2,英文,English,
少少,sau3 sau3,少少,A little,
普通話,pu3 tung1 va4,普通話,Mandarin,
喔,o1,喔,Sentence particle,
這,ngia3,這,This,
間,gan1,間,Classifier for rooms/buildings,
課室,ko4 sit5,課室,Classroom,
冇,mau2,沒有,Not have,
看,kon4,看,See / Look,
到,dau3,到,Arrive / To,
住,cu4,住,Live,
比較,bi3 gau4,比較,Comparatively / More,
遠,yen3,遠,Far,
筲箕灣,sau1 gi1 van1,筲箕灣,Shau Kei Wan,
荃灣,cien2 van1,荃灣,Tsuen Wan,
有冇,yiu1 mau2,有沒有,Have or not,
就,ciu4,就,Then / Just,
坐嗨,co3 hoi1,坐著,Sitting,
沙田,sa1 tien2,沙田,Sha Tin,
大埔,tai4 bu1,大埔,Tai Po,
開,koi1,開,Open / Run (a business),
倫敦,lun2 dun1,倫敦,London,
外面,ngoi4 mien4,外面,Outside,
也,ya3,也,Also,
親戚,cin1 cit5,親戚,Relatives,
全部,cien2 pu4,全部,All,
都,du1,都,All / Both,
家庭,ga1 tin2,家庭,Family,
多,do1,多,Many / Much,
哇,va1,哇,Wow,
開心,koi1 sim1,開心,Happy,
煮,zu3,煮,Cook,
菜,coi4,菜,Vegetables / Dishes,
好食,hau3 sit6,好吃,Delicious,
鑽石山,zon4 sak6 san1,鑽石山,Diamond Hill,
觀塘,gon1 tong2,觀塘,Kwun Tong,
放學,fong4 hok6,放學,Finish school,
直接,cit6 ziep5,直接,Directly,
地鐵,ti4 tiet5,地鐵,MTR / Subway,
橫台山,vang2 toi2 san1,橫台山,Wang Toi Shan,
火車,fo3 ca1,火車,Train,
去,hi4,去,Go,
錦上路,gim3 song4 lu4,錦上路,Kam Sheung Road,
轉,zon3,轉,Transfer / Turn,
連,lien2,連,Including / Even,
等車,den3 ca1,等車,Wait for a car/bus,
點鐘,diam3 zung1,點鐘,O'clock,
久,giu3,久,Long (time),
啦,la1,啦,Sentence particle,
來回,loi2 fui2,來回,Round trip,
